id,hotness,familiarity,latitude,location,longitude,name,,,,
ARD7TVE1187B99BFB1,0.401997543,0.581793766,,California - LA,,Casual,,,,
ARMJAGH1187FB546F3,0.417499645,0.630630038,35.14968,Memphis TN,-90.04892,The Box Tops,,,,
ARKRRTF1187B9984DA,0.343428378,0.487356791,,,,Sonora Santanera,,,,
AR7G5I41187FB4CE6C,0.454231157,0.630382334,,London England,,Adam Ant,,,,
ARXR32B1187FB57099,0.401723686,0.651045661,,,,Gob,,,,
ARKFYS91187B98E58F,0.385470551,0.535292736,,,,Jeff And Sheri Easter,,,,
ARD0S291187B9B7BF5,0.261941177,0.556495602,,Ohio,,Rated R,,,,
AR10USD1187B99F3F1,0.605507136,0.801136447,,Burlington Ontario Canada,,Tweeterfriendly Music,,,,
AR8ZCNI1187B9A069B,0.332275747,0.426667857,,,,Planet P Project,,,,
ARNTLGG11E2835DDB9,0.422705641,0.550513698,,,,Clp,,,,
ARGSJW91187B9B1D6B,0.296268954,0.360031166,35.21962,North Carolina,-80.01955,JennyAnyKind,,,,
ARC43071187B990240,0.351555861,0.545159296,,Wisner LA,,Wayne Watson,,,,
ARL7K851187B99ACD2,0.37948217,0.577508974,,,,Andy Andy,,,,
ARHHO3O1187B989413,0.251936525,0.085512047,,,,Bob Azzam,,,,
ARIK43K1187B9AE54C,0.553071991,0.776675856,,Beverly Hills CA,,Lionel Richie,,,,
ARD842G1187B997376,0.44793548,0.636423645,43.64856,Toronto Ontario Canada,-79.38533,Blue Rodeo,,,,
ARIG6O41187B988BDD,0.330806357,0.419943148,37.16793,United States,-95.84502,Richard Souther,,,,
AR1ZHYZ1187FB3C717,0.306676093,0.363280571,,,,Faiz Ali Faiz,,,,
ARYKCQI1187FB3B18F,0.51346329,0.707199764,,,,Tesla,,,,
ARNPAGP1241B9C7FD4,0,0.32031437,,,,lextrical,,,,
ARQGYP71187FB44566,0.291539727,0.39413854,34.31109,Mineola AR,-94.02978,Jimmy Wakely,,,,
ARI3BMM1187FB4255E,0.328553015,0.489816269,38.8991,Washington,-77.029,Alice Stuart,,,,
AR5KOSW1187FB35FF4,0.378254686,0.677420465,49.80388,Dubai UAE,15.47491,Elena,,,,
ARMAC4T1187FB3FA4C,0.541888972,0.839962768,40.82624,Morris Plains NJ,-74.47995,The Dillinger Escape Plan,,,,
AR47JEX1187B995D81,0.306242264,0.435415818,37.83721,Nevada MO,-94.35868,SUE THOMPSON,,,,
ARGIWFO1187B9B55B7,0.363651365,0.6090637,,,,Five Bolt Main,,,,
ARNTLGG11E2835DDB9,0.422705641,0.550513698,,,,Clp,,,,
ARDNS031187B9924F0,0.349912612,0.459797129,32.67828,Georgia,-83.22295,Tim Wilson,,,,
AROUOZZ1187B9ABE51,0.379671125,0.588827101,40.79195,New York NY [Spanish Harlem],-73.94512,Willie Bobo,,,,
ARH4Z031187B9A71F2,0.299230368,0.396455254,40.73197,Newark NJ,-74.17418,Faye Adams,,,,
ARB29H41187B98F0EF,0.416173065,0.706827671,41.88415,Chicago,-87.63241,Terry Callier,,,,
AR1Y2PT1187FB5B9CE,0.452789477,0.560557984,27.94017,Brandon,-82.32547,John Wesley,,,,
ARAJPHH1187FB5566A,0.418216518,0.640807102,40.7038,Queens NY,-73.83168,The Shangri-Las,,,,
AR0RCMP1187FB3F427,0.384611084,0.523714637,30.08615,Beaumont TX,-94.10158,Billie Jo Spears,,,,
AREBBGV1187FB523D2,0.426317956,0.79360508,,Houston TX,,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,,,
